mjd,counts,event
59087.7463092671,1.7627214588706877,0.0
59087.753253630086,0.6238246231306386,0.0
59087.76019799318,1.17125972400961,0.0
59087.76714235634,-4.84235313732937,0.0
59087.774086719604,4.520891769301099,0.0
59087.78103108297,-3.0860530434013884,0.0
59087.78797544638,-7.733393432888226,0.0
59087.794919809916,-0.2115730401751572,0.0
59087.80186417351,2.9833018534409614,0.0
59087.80880853716,-3.3414842419766764,0.0
59087.815752900926,3.9102952473644814,0.0
59087.82269726472,-0.1490766231292926,0.0
59087.8296416286,1.0273317805521125,0.0
59087.83658599254,-0.050483867768503554,0.0
59087.84353035657,-5.363739550222378,0.0
59087.850474720624,-1.863031094175524,0.0
59087.85741908477,-2.2698057865284538,0.0
59087.86436344898,-0.9183929444113448,0.0
59087.871307813235,-1.2578409150875642,0.0
59087.87825217753,-0.9712868177694625,0.0
59087.8851965419,-4.795483466215231,0.0
59087.89214090631,-1.7595461719754768,0.0
59087.89908527077,-5.827538810910016,0.0
59087.9060296353,0.8287734035248078,0.0
59087.91297399985,-0.4597719376027889,0.0
59087.91991836446,0.13449968988594607,0.0
59087.9268627291,2.829484025599957,0.0
59087.933807093796,-0.999457370040487,0.0
59087.940751458525,0.5863077614071666,0.0
59087.94769582328,3.1923690163045357,0.0
59087.954640188094,4.079117701735875,0.0
59087.96158455293,7.012142546951331,0.0
59087.96852891781,1.042340284298621,0.0
59087.975473282706,-4.688683625571434,0.0
59087.98241764767,-0.40857565885629255,0.0
59087.989362012624,-0.05934672545936148,0.0
59087.996306377645,-2.2185602245950857,0.0
59088.003250742666,-1.467427395484576,0.0
59088.01019510774,0.7072538893206932,0.0
59088.01713947282,-4.058360736377899,0.0
59088.02408383795,0.8562316485626609,0.0
59088.031028203084,1.4754195728288482,0.0
59088.03797256824,2.0850038494518084,0.0
59088.04491693341,0.15993351438522413,0.0
59088.051861298634,-4.392147075503614,0.0
59088.05880566385,-0.6298105464564749,0.0
59088.065750029105,-1.0539654346405187,0.0
59088.07269439435,-3.739173276404733,0.0
59088.079638759635,2.264143468471136,0.0
