subject_ids,Transient,Asteroid,Variable star,Junk,Weird thing/Not sure,filename,aggregated_tags
105784283,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd4_cut8_object2110_event1of1.png,
105784287,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd1_cut8_object2490_event1of1.png,
105784301,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut4_object1351_event1of1.png,
105784305,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut7_object2601_event3of4.png,flare
105784312,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd1_cut6_object838_event1of1.png,
105784315,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut9_object5140_event1of1.png,burst
105784323,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut12_object861_event2of3.png,
105784330,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd1_cut15_object3916_event1of1.png,
105784336,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut11_object6117_event1of1.png,
105784338,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,Sec31_cam4_ccd3_cut13_object899_event1of2.png,
105784341,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd4_cut8_object4148_event1of1.png,
105784346,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd2_cut9_object513_event1of5.png,
105784354,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd4_cut2_object4402_event1of1.png,"transient, burst"
105784364,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut16_object2137_event1of10.png,
105784370,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd4_cut2_object4243_event1of1.png,
105784380,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut4_object1245_event1of1.png,
105784398,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd1_cut7_object5570_event1of1.png,
105784404,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,Sec30_cam3_ccd3_cut14_object4295_event1of2.png,
105784418,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd3_cut15_object5909_event1of1.png,
105784419,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut13_object2227_event1of1.png,
105784427,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd2_cut11_object5214_event1of1.png,
105784437,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut4_object2145_event1of1.png,
105784443,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd4_cut16_object419_event1of1.png,
105784451,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd3_cut10_object2290_event1of1.png,flare
105784462,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut3_object2014_event3of3.png,
105784463,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd3_cut8_object1473_event1of1.png,
105784465,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd4_cut4_object1241_event1of1.png,
105784473,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd2_cut4_object4287_event1of1.png,burst
105784485,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut3_object914_event1of1.png,flare
105784493,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd2_cut13_object3977_event1of1.png,
105784501,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut8_object2748_event1of1.png,
105784510,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut13_object1758_event1of1.png,
105784520,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd2_cut10_object1004_event1of11.png,
105784536,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut8_object2158_event1of1.png,
105784537,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut13_object8419_event1of1.png,
105784546,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut10_object7000_event1of1.png,
105784552,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd3_cut2_object2538_event2of3.png,
105784567,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,Sec29_cam4_ccd4_cut13_object3277_event2of2.png,
105784569,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd3_cut3_object1278_event1of2.png,
105784580,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut9_object4597_event1of1.png,"burst, flare"
105784587,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut9_object3764_event1of1.png,
105784592,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd2_cut15_object2968_event1of1.png,
105784599,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut13_object2413_event1of1.png,
105784602,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd1_cut10_object3724_event1of1.png,burst
105784607,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut9_object4815_event1of1.png,
105784609,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut16_object5322_event1of1.png,
105784622,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd4_cut8_object1356_event1of1.png,
105784623,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd3_cut11_object5532_event1of1.png,flare
105784639,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd2_cut11_object4811_event1of1.png,
105784642,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd1_cut6_object279_event2of4.png,
105784643,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut12_object2635_event1of1.png,
105784647,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd2_cut15_object2413_event2of2.png,
105784680,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut7_object1789_event1of1.png,
105784686,1.0,0.0,0.0,0.0,0.0,Sec28_cam4_ccd3_cut9_object1077_event1of1.png,
105784698,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd1_cut2_object2653_event1of1.png,
105784709,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd2_cut3_object4750_event1of1.png,
105784711,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd4_cut16_object9029_event1of1.png,
105784723,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd2_cut6_object711_event2of2.png,
105784733,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd3_cut13_object1008_event1of1.png,
105784747,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd4_cut10_object3432_event1of1.png,
105784749,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd3_cut14_object6431_event2of2.png,
105784753,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd4_cut10_object356_event1of1.png,
105784756,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut3_object1059_event1of1.png,
105784783,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd3_cut3_object1730_event1of1.png,
105784810,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut7_object3796_event1of1.png,
105784811,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd2_cut10_object3730_event1of1.png,
105784824,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd1_cut9_object1322_event1of1.png,
105784827,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut8_object1141_event1of1.png,
105784834,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut2_object2686_event1of2.png,
105784873,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd3_cut15_object6343_event1of1.png,
105784884,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd4_cut16_object1197_event1of1.png,
105784892,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd2_cut10_object1735_event1of1.png,burst
105784898,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut11_object900_event1of1.png,
105784936,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut15_object865_event3of7.png,
105784951,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec29_cam3_ccd4_cut9_object5027_event1of2.png,
105784969,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd1_cut15_object729_event1of1.png,
105784970,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd1_cut13_object769_event2of2.png,
105784974,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec31_cam4_ccd4_cut11_object3393_event1of1.png,
105784976,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd3_cut9_object4404_event1of1.png,
105784980,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd4_cut9_object1138_event1of1.png,
105784990,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd1_cut8_object2783_event2of3.png,
105784994,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut15_object3930_event1of1.png,flare
105784997,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd1_cut11_object3823_event1of1.png,
105785008,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut9_object4941_event1of1.png,
105785011,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd4_cut7_object3339_event1of1.png,
105785013,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut4_object3481_event1of2.png,
105785017,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd1_cut3_object2070_event1of1.png,
105785025,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd2_cut16_object3365_event1of1.png,"transient, weird"
105785029,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd1_cut2_object3255_event1of1.png,
105785031,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd3_cut13_object6472_event1of1.png,
105785041,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd3_cut4_object2496_event1of1.png,
105785062,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd2_cut2_object5302_event1of1.png,
105785063,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd4_cut3_object4109_event1of1.png,
105785069,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd3_cut7_object1331_event1of1.png,
105785070,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd2_cut15_object1953_event1of1.png,
105785071,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd2_cut15_object961_event1of3.png,
105785073,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec35_cam4_ccd2_cut16_object3873_event1of1.png,
105785089,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec31_cam3_ccd1_cut11_object6131_event1of1.png,
105785091,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec31_cam4_ccd4_cut12_object568_event2of2.png,"transient, flare"
105785103,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd3_cut4_object1755_event1of1.png,
105785111,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,Sec31_cam3_ccd2_cut12_object6992_event1of1.png,
105785115,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd2_cut15_object3223_event1of1.png,
105785118,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd2_cut16_object3725_event1of1.png,
105785123,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd3_cut13_object7252_event1of1.png,
105785124,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec29_cam4_ccd3_cut16_object2784_event1of1.png,
105785138,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut14_object1955_event1of3.png,
105785141,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd1_cut12_object2796_event1of1.png,"burst, flare"
105785148,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd2_cut4_object3894_event1of1.png,
105785154,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd3_cut12_object4146_event1of1.png,
105785167,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,Sec30_cam3_ccd3_cut10_object7955_event1of1.png,flare
105785169,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd4_cut2_object2941_event1of2.png,
105785179,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd4_cut2_object1771_event1of1.png,possible-transient
105785188,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd2_cut7_object2380_event1of1.png,
105785191,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut7_object4729_event1of1.png,
105785194,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut12_object5052_event1of1.png,
105785202,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd4_cut10_object5957_event1of1.png,transient
105785204,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,Sec35_cam4_ccd1_cut16_object790_event1of1.png,
105785206,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut6_object5070_event1of1.png,"burst, flare"
105785225,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd2_cut6_object2151_event1of1.png,
105785227,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd3_cut5_object3348_event1of1.png,
105785229,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut2_object3103_event1of1.png,
105785234,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,Sec29_cam3_ccd3_cut8_object3832_event1of1.png,
105785237,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd4_cut7_object2436_event1of1.png,
105785241,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd2_cut7_object1914_event1of1.png,
105785243,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd1_cut11_object1218_event1of1.png,burst
105785246,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut8_object2044_event1of1.png,
105785260,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut14_object606_event1of2.png,
105785271,1.0,0.0,0.0,0.0,0.0,Sec36_cam3_ccd2_cut10_object4429_event1of1.png,
105785278,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd4_cut15_object5884_event1of1.png,
105785291,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut3_object2162_event1of1.png,
105785293,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,Sec31_cam3_ccd3_cut16_object7658_event1of1.png,
105785303,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd4_cut14_object6118_event1of1.png,
105785310,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut7_object529_event1of2.png,
105785314,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd1_cut15_object2461_event2of2.png,
105785320,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd2_cut16_object2252_event1of1.png,
105785341,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd3_cut12_object742_event1of1.png,
105785390,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd4_cut3_object2068_event2of3.png,
105785409,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd2_cut9_object499_event1of4.png,flare
105785416,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd4_cut13_object2309_event1of4.png,
105785419,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd4_cut15_object675_event1of2.png,
105785423,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd4_cut3_object3764_event1of2.png,
105785436,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd4_cut14_object1919_event1of1.png,
105785437,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd4_cut12_object2219_event1of1.png,
105785455,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut14_object2747_event1of2.png,
105785462,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec35_cam4_ccd2_cut15_object912_event1of1.png,
105785482,1.0,0.0,0.0,0.0,0.0,Sec35_cam3_ccd2_cut12_object2898_event1of1.png,
105785487,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd4_cut4_object988_event1of1.png,
105785491,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd3_cut10_object3986_event1of1.png,
105785495,1.0,0.0,0.0,0.0,0.0,Sec28_cam4_ccd3_cut3_object2150_event1of1.png,
105785497,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd4_cut4_object2614_event1of1.png,
105785498,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd2_cut16_object3413_event2of2.png,
105785515,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd1_cut8_object2096_event1of2.png,
105785518,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd3_cut7_object499_event5of20.png,
105785530,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec29_cam4_ccd1_cut14_object3272_event1of1.png,
